suite,id,language,category,expected,predicted,exact_match,expected_risk,predicted_risk,risk_score,violations,warnings,elapsed_ms,top_reason,text,rationale
ko,KO_PASS_001,ko,대출 조건 고지,PASS,PASS,True,False,False,0.0,0,0,77.0,,대출금리는 연 3.45%~8.90%이며 개인신용평가 결과에 따라 차등 적용됩니다. 계약 체결 전 상품설명서와 약관을 확인하시기 바랍니다.,"금리 범위, 차등 적용, 약관 확인 문구가 포함된 정상 고지"
ko,KO_PASS_002,ko,투자 위험 고지,PASS,PASS,True,False,False,0.0,0,0,1.6,,"본 금융투자상품은 운용 결과에 따라 원금손실이 발생할 수 있으며, 과거 수익률이 미래 수익률을 보장하지 않습니다.",원금손실 가능성과 수익률 비보장 명시
ko,KO_PASS_003,ko,수수료 고지,PASS,VIOLATION,False,False,True,0.75,1,0,1.8,투자성 상품 광고에 원금손실 가능성 미고지,"펀드 가입 시 판매보수와 운용보수가 발생하며, 자세한 비용은 투자설명서에서 확인할 수 있습니다.",비용 발생 사실과 설명서 확인 안내
ko,KO_PASS_004,ko,예금 일반 안내,PASS,PASS,True,False,False,0.0,0,0,0.9,,"예금금리는 가입일 현재 영업점 및 모바일뱅킹에 고시된 금리를 적용하며, 세금 공제 후 실제 수령액은 달라질 수 있습니다.",확정 수익 보장 표현 없이 조건 안내
ko,KO_PASS_005,ko,대출 심사 안내,PASS,PASS,True,False,False,0.0,0,0,1.1,,대출 가능 여부와 한도는 개인신용평가 및 내부 심사 기준에 따라 달라질 수 있습니다.,최대한도 단정 없이 심사 기준 고지
ko,KO_PASS_006,ko,중도상환 비용,PASS,PASS,True,False,False,0.0,0,0,1.3,,"중도상환해약금은 최대 1.0%이며, 대출기간과 상환 시점에 따라 달라질 수 있습니다.",소비자 부담 비용 고지
ko,KO_PASS_007,ko,상품설명서 안내,PASS,PASS,True,False,False,0.0,0,0,1.1,,금융소비자는 금융소비자보호법에 따라 상품 또는 서비스에 대해 설명을 받을 권리가 있습니다.,권리 고지 문구
ko,KO_PASS_008,ko,카드 혜택 조건,PASS,PASS,True,False,False,0.0,0,0,1.0,,카드 할인 혜택은 전월 이용실적 및 가맹점 업종 기준에 따라 적용 여부가 달라질 수 있습니다.,혜택 조건 안내
ko,KO_PASS_009,ko,원금 비보장,PASS,PASS,True,False,False,0.0,0,0,2.0,,이 상품은 원금이 보장되지 않으며 시장 상황에 따라 손실이 발생할 수 있습니다.,부정문/위험 고지로 원금보장 오탐 방지 대상
ko,KO_PASS_010,ko,한도 조건,PASS,WARNING,False,False,True,0.32,0,1,0.7,최대한도만 강조될 경우 실제 적용 가능 범위·심사기준 안내가 충분한지 확인이 필요합니다.,최대한도 3억원은 심사 결과와 소득 수준에 따라 차등 적용되며 모든 고객에게 동일하게 적용되지 않습니다.,최대한도 적용 조건 고지
ko,KO_PASS_011,ko,금리 조건,PASS,WARNING,False,False,True,0.33,0,1,0.5,최저금리 적용 조건·우대조건·심사기준 안내가 충분한지 확인이 필요합니다.,최저 연 3.5% 금리는 우대조건 충족 시 적용될 수 있으며 실제 금리는 심사 결과에 따라 달라집니다.,최저금리 조건과 심사 결과 고지
